message,user,date
so they baby their viewers,lizanyasrosetoy,"2023-12-07 12:25:13,802"
"I was on a call, how the fuck did he come up here? even I don't discuss him here like that.
""
",catboy_rai,"2023-12-07 12:25:14,509"
LIBBERS Clap,xirodrigox,"2023-12-07 12:25:15,840"
5Head,brcfrmn,"2023-12-07 12:25:15,869"
"Betel YOUCANT DON'T
""
",doodlebirb,"2023-12-07 12:25:15,930"
imagine being centrist about genocide,royalhi5,"2023-12-07 12:25:16,088"
lmao,liberacc1,"2023-12-07 12:25:16,762"
I started to get random anti hasan thumbnails in my recommended. Looked clickbaity and cheap,ivan_designer,"2023-12-07 12:25:16,899"
"@yuubii__, LFGO",beteljuice,"2023-12-07 12:25:17,037"
dim tool,ajr20,"2023-12-07 12:25:17,581"
You think those drama channels would shut up after the hbomb video,cakeboss16,"2023-12-07 12:25:17,779"
BebeLa Wendigoon,da66y,"2023-12-07 12:25:17,808"
@hasanabi an https://twitter.com/PalestineNW/status/1728898644223705187?t=-RtQL0Gg6Iemdq7I042vMA&s=19,mountaingermans,"2023-12-07 12:25:19,630"
doodlRise EGGS IN CHAT,ocelotlk,"2023-12-07 12:25:19,774"
yup,leastderangedgrayname,"2023-12-07 12:25:19,809"
"""a-political""",smarcey,"2023-12-07 12:25:20,033"
"charlie, asmon BebeLa",nezerugaming,"2023-12-07 12:25:21,556"
"Watch Hasan's latest gaming video: Hasan's Perverted Suit in Spider-Man 2 - https://youtu.be/fZDleuj3F3g
""
",fossabot,"2023-12-07 12:25:22,394"
i think im not gonna take a real stance,liberacc1,"2023-12-07 12:25:23,828"
"LIBBERS it's the free market brother
""
",crimsontidalwave,"2023-12-07 12:25:23,863"
"YEP faux intellectual, bad faith, pumping out vids for a paycheck",platypus_dreaming,"2023-12-07 12:25:24,749"
"BetelJuice, Also I'm seeing 2 movies this weekend!! Poor Things tomorrow and Hunger games on Saturday!!
""
",yuubii__,"2023-12-07 12:25:24,783"
please stop,niixv,"2023-12-07 12:25:25,263"
"yeah no he's a full nazi that hides under ~edgy
""
",gothdome,"2023-12-07 12:25:25,535"
Pivo,weakestoffliner,"2023-12-07 12:25:25,978"
"Pivo i beg, no more attention for these drama-farming vile sewer rats",censoredcolors_,"2023-12-07 12:25:26,593"
"I watched some of his stuff that's a fairer take, most often it's very surface level politics
""
",radicalaaron,"2023-12-07 12:25:28,336"
Willy NO SHOW,strumdogg,"2023-12-07 12:25:28,378"
but i will hold an opinion,liberacc1,"2023-12-07 12:25:28,641"
"""pro palestinian btw but....""",dimzter,"2023-12-07 12:25:28,677"
im getting mad watching you trying to educate adult children. please take care of your mental health,enemymac,"2023-12-07 12:25:30,178"
"wihby, ALOO Hello friend",yuubii__,"2023-12-07 12:25:31,508"
"@hasanabi huge fan of you by the way just curious if you've spoken on it as I can't be there for all the live streams
""
",gormorus,"2023-12-07 12:25:31,537"
most people dont get how insanely uncommon it is to see/read about israeli soldiers falling in large numbers,greycoatss,"2023-12-07 12:25:31,703"
"I'm just an idiot but wouldn't like... Stopping US financial and military aid to Israel and sending that to Ukraine solve a lot of problems ?
""
",daveathor,"2023-12-07 12:25:33,456"
doodlPeek @toxicsjw @veggietableh,doodlebirb,"2023-12-07 12:25:33,540"
NODDERS,kitpinn,"2023-12-07 12:25:33,998"
NOTED,laserkei,"2023-12-07 12:25:34,531"
they also all  just target one person and pile on like Nick is not green,h3llworld,"2023-12-07 12:25:34,663"
Moist critical on trans issues... He avoids the topic like the plague and every day is more obvious,sunrose8,"2023-12-07 12:25:35,093"
OKAY,platypus_dreaming,"2023-12-07 12:25:35,912"
also how absolutely disgusting to use horrific situations like this for views without an opinion while spreading misinformation,imupsetandthatsokay,"2023-12-07 12:25:36,629"
"@hasanabi do you watch Owen Jones videos on YT ? He's doing an amazing job covering the conflict in UK
""
",madbirdd,"2023-12-07 12:25:37,448"
depends on the jargon,gravethedude,"2023-12-07 12:25:37,607"
Exactly,youngheartedmom,"2023-12-07 12:25:38,484"
"yuubii__, soCute Looking <3",smileyspacex,"2023-12-07 12:25:38,779"
im late to the stream. what we on about today,madeovhate,"2023-12-07 12:25:38,901"
NODDERS next post,luscious_gandhi,"2023-12-07 12:25:38,952"
"@HasanAbi will you adress the allegations that you're a cutie patootie <3
""
",witonis,"2023-12-07 12:25:39,291"
"Often extremists don't see themselves as being extreme as well. They could be lying to themselves.
""
",rawrimmazombie,"2023-12-07 12:25:39,585"
@DoodleBirb KEKW your partner badge now gives you away too easily doodlL,veggietableh,"2023-12-07 12:25:40,414"
YEP do not engage,kittymazov,"2023-12-07 12:25:40,930"
bottom barrel shit,n1naishere,"2023-12-07 12:25:41,851"
@yuubii__ Alooo yubi,wihby,"2023-12-07 12:25:42,261"
Hey hey Chat!! 👋,nickie_goldinhart,"2023-12-07 12:25:43,006"
NoThanks yt,cyniciewinikie,"2023-12-07 12:25:44,107"
YEP,sofipeach88,"2023-12-07 12:25:44,718"
"SmileySpaceX, peepoKiss <3 hi cutie",yuubii__,"2023-12-07 12:25:44,843"
"i dont think i've ever met someone who was ""apolitical"" that didnt end up being a nazi",justagirlelle,"2023-12-07 12:25:47,687"
Turkey tom is just another willy noscript,zigcarnivorous,"2023-12-07 12:25:48,405"
monkaLIB into LIBBERS into ???,crimsontidalwave,"2023-12-07 12:25:49,327"
"they also know nothing about the topic and cant challenge you directly about it so they come with the nonsense ""honest journalism"" bs",pointclickboom,"2023-12-07 12:25:50,146"
Pivo,megaphonix,"2023-12-07 12:25:53,833"
lmaooooo,liberacc1,"2023-12-07 12:25:54,130"
Starjj TeaTime Petty Drama is such an energy sinkhole.,eevee_sprinkle,"2023-12-07 12:25:54,201"
Stop engaging in petty drama chatters,greentea_ocha,"2023-12-07 12:25:54,428"
im so tired that i dont know who is causing drama bating/farming,tiberiumausten,"2023-12-07 12:25:54,548"
@nickie_goldinhart hi friend <3,mischalux,"2023-12-07 12:25:57,315"
@zigcarnivorous yeah,enby_dee,"2023-12-07 12:25:57,724"
just curious,frank_s_art,"2023-12-07 12:25:57,847"
PogO jc andies stfu,obviousconman,"2023-12-07 12:25:58,543"
smHead,sandehhhhh,"2023-12-07 12:25:58,574"
@veggietableh doodlPanic i need to hide it,doodlebirb,"2023-12-07 12:25:58,624"
hasCringe mods saying hi to each other,sillybilly01,"2023-12-07 12:25:58,704"
Pivo,depressedaether,"2023-12-07 12:25:59,362"
Pivo,laserkei,"2023-12-07 12:25:59,772"
Pivo CHATTER,deleeson,"2023-12-07 12:26:00,080"
BebeLa jc andy,pockybandit,"2023-12-07 12:26:00,387"
and you shouldnt,kitpinn,"2023-12-07 12:26:00,511"
hasRant,ivan_designer,"2023-12-07 12:26:00,553"
N OMEGALUL,ellietinybelly,"2023-12-07 12:26:00,628"
EZ,bebop_sam,"2023-12-07 12:26:00,814"
KEKW,yuutuu,"2023-12-07 12:26:00,872"
@yuubii__ Alooo boss Salute,tiredsnowhite,"2023-12-07 12:26:01,338"
fuck drama farmers,h3llworld,"2023-12-07 12:26:02,537"
BebeLa JC,niceharris,"2023-12-07 12:26:02,568"
Classic,viazzzz,"2023-12-07 12:26:02,568"
ICANT,aisleofcommunism,"2023-12-07 12:26:03,356"
"Thank you Hasan, from your coverage of the Palestine situation I've been able to talk with friends and family about it, bringing more awareness to this matter where I live. So thank you <3
""
",guuguuuuu,"2023-12-07 12:26:03,410"
Pivo drama,depressedaether,"2023-12-07 12:26:03,984"
Pivo,luna__rae,"2023-12-07 12:26:04,995"
Pivo,stewie86,"2023-12-07 12:26:05,110"
Pivo,moenie_was_here,"2023-12-07 12:26:05,148"
Timcast always sayin he’s a fuckin lefty,stp196,"2023-12-07 12:26:06,012"
"wihby, ALOO I got matcha milk tea with boba, what kinda boba do you like?",yuubii__,"2023-12-07 12:26:06,407"
GET IN PogO 👉 🌋 GET IN PogO 👉 🌋 GET IN PogO 👉 🌋 GET IN PogO 👉 🌋 GET IN PogO 👉 🌋 GET IN PogO 👉 🌋 GET IN PogO 👉 🌋 GET IN PogO 👉 🌋,mijnboot,"2023-12-07 12:26:06,471"
OMEGALUL,barbxlahey,"2023-12-07 12:26:06,566"
Pivo drama frogs,sniipps,"2023-12-07 12:26:06,596"
do not,onionsat3am,"2023-12-07 12:26:07,555"
Pivo,niixv,"2023-12-07 12:26:07,741"
Classic chatter,sillybilly01,"2023-12-07 12:26:07,998"
Chatting can you inform me of drama farming,eyesometric,"2023-12-07 12:26:08,142"
LUL wtf,halfnote_the_bard,"2023-12-07 12:26:09,217"
"I've been advocating for a ceasefire on campus and my roomates have been calling me a white supremacist becaue criticising Israel is antisemitic and ""antisemitism is one of the pillars of white supremacy."" they've been calling me a baby decapitator and stuff which makes me feel sick to my stomach, then i see shaun king's instagram post and i have to slap myself for feeling self pity when palestinians are witnessing their families being killed @HasanAbi",toefungus2,"2023-12-07 12:26:10,633"
yep,progressioneightthree,"2023-12-07 12:26:10,745"
"smHead ""Just curious""",sandehhhhh,"2023-12-07 12:26:10,813"
"@toefungus2, Your message is too long. Keep it under 450 characters. [warning]",fossabot,"2023-12-07 12:26:11,139"
"As I see it, Hasanabi attracts all the drama farmers.",alejandrathatsme,"2023-12-07 12:26:11,174"
peepoSmile 👉 🌋 get in,depressedaether,"2023-12-07 12:26:11,957"
Go elsewhere weirdos,simuser,"2023-12-07 12:26:12,983"
Drama farmers NotLikeThis,guerilla_,"2023-12-07 12:26:13,118"
If you care more about like the clips that this guy makes over dead kids like you got to take a long look at yourself,nateking12,"2023-12-07 12:26:15,133"
@mischalux hasL,nickie_goldinhart,"2023-12-07 12:26:15,441"
BebeLa,kalcoomingham,"2023-12-07 12:26:15,747"
we car,chrisvmusic,"2023-12-07 12:26:16,231"
Classic,bebop_sam,"2023-12-07 12:26:16,261"
"You are sick, seek help KEKL",smarcey,"2023-12-07 12:26:16,526"
no 💖,lizanyasrosetoy,"2023-12-07 12:26:16,637"
learn,progressioneightthree,"2023-12-07 12:26:16,749"
hasCringe,yamina8,"2023-12-07 12:26:17,072"
widepeepoHappy 🌷,barbxlahey,"2023-12-07 12:26:17,102"
doodlRise ON TREES!!! ON DOGS!!!,ocelotlk,"2023-12-07 12:26:17,242"
chatter,kishmish00,"2023-12-07 12:26:17,942"
are you going to talk about Venezuela and Guyana,mathewadamira,"2023-12-07 12:26:17,970"
lol,tortuges_,"2023-12-07 12:26:18,142"
no one is apolitical,imupsetandthatsokay,"2023-12-07 12:26:18,245"
TAPTHEGLASS,tiamani,"2023-12-07 12:26:19,106"
hasL,halestormuo,"2023-12-07 12:26:19,263"
No drama but class war hasRaid,weakestoffliner,"2023-12-07 12:26:19,370"
maybe find another place to hang out,soggyburrito,"2023-12-07 12:26:19,741"
HUH KEKL more drama seeking,craven_darkshadow,"2023-12-07 12:26:19,769"
@yuubii__ Alooo boba so too much sugar for me,wihby,"2023-12-07 12:26:20,356"
LOVE YOUR COVERAGE OF THE GENOCIDE IN GAZA,carioca212,"2023-12-07 12:26:20,385"
thank god,funkisthis,"2023-12-07 12:26:21,174"
hiiii,monteepythonn,"2023-12-07 12:26:22,097"
hasL hasL,afterbertha,"2023-12-07 12:26:24,247"
exactly,imupsetandthatsokay,"2023-12-07 12:26:25,577"
open your mind,progressioneightthree,"2023-12-07 12:26:25,609"
Pivo,zevoozu,"2023-12-07 12:26:26,500"
TAPTHEGLASS everyone tap the glass,tiamani,"2023-12-07 12:26:27,113"
sigh,sadiebaby222,"2023-12-07 12:26:27,235"
@yuubii__ Alooo has,wihby,"2023-12-07 12:26:27,438"
whats the next grift? hasRaid,crimsontidalwave,"2023-12-07 12:26:27,468"
Classic chatters,bebop_sam,"2023-12-07 12:26:27,519"
I love this no drama arc,kuza__,"2023-12-07 12:26:27,599"
im just a geopolitics nerd,brcfrmn,"2023-12-07 12:26:27,679"
the goal is to waste your time,adk_215,"2023-12-07 12:26:28,072"
"half of the videos like are video games in the background and at least one line along the lines of ""I don't want to get into the politics of this, buuuuut-""",comradelamb,"2023-12-07 12:26:28,650"
yessir,dlowenoho,"2023-12-07 12:26:28,776"
"@MathewAdamira, he did",r33s3sp13c3s,"2023-12-07 12:26:28,824"
Pivo good lord he cant stop,niixv,"2023-12-07 12:26:29,264"
i wouldnt talk down on catboys if i were you chat they got Sharp Claws GayPride,grimdarkfuturebikes,"2023-12-07 12:26:30,391"
cspCancel,malformednpc,"2023-12-07 12:26:30,420"
hasL hasL hasL hasL,weakestoffliner,"2023-12-07 12:26:30,800"
Whats the drama this time?,nickie_goldinhart,"2023-12-07 12:26:31,448"
"genuine question how do you argue with someone who argues any point you make is based on propaganda/lie, seems like a dead end every time on either side",zoogus_,"2023-12-07 12:26:31,927"
hasL hasL hasL,user_lurking,"2023-12-07 12:26:32,439"
most people are too distracted by things,mgn2x0x,"2023-12-07 12:26:33,975"
zei saying bari weiss is the one who put a target on refaat https://twitter.com/zei_squirrel/status/1732858374365028508,jerbil_b,"2023-12-07 12:26:34,004"
15mins,adk_215,"2023-12-07 12:26:34,126"
hasL hasL hasL,friedr1ce,"2023-12-07 12:26:34,487"
Hasan cover news. Other farm drama big difference.,mrcooldz,"2023-12-07 12:26:35,307"
"tiredsnowhite, Salute hello my employee, we need to stay vigelent since neither of the chatters have paid me back",yuubii__,"2023-12-07 12:26:35,490"
hasL,yetik,"2023-12-07 12:26:36,415"
blissfully unaware of todays drama widepeepoHappy,yourpolyesterqueen,"2023-12-07 12:26:37,662"
@hasanabi these worthless bitch ass drama pervert clout chasers will always try to siphon off you because they keep smelling the syrup. They aren’t worth your time other than making content by dunking on thehasRaid ￼ hasL,ohma330,"2023-12-07 12:26:39,608"
"@OcelotLK, doodlL",doodlebirb,"2023-12-07 12:26:39,717"
yup,n1naishere,"2023-12-07 12:26:40,325"
hasL love you for that King,ridersonthestorm,"2023-12-07 12:26:41,963"
nah people are too lazy lol,dahuman,"2023-12-07 12:26:42,250"
hasL,stewie86,"2023-12-07 12:26:42,782"
@Prokrassttinaytor Maybe a simpler question is how you get 2 groups of 2 people to work together.,ordergrowth,"2023-12-07 12:26:43,294"
"Thank you so much for your coverage! Love you, Hasan ❤️",kendilou_2,"2023-12-07 12:26:43,452"
hasL,ocelotlk,"2023-12-07 12:26:44,319"
that jacket colour really looks nice on you hasanabi,platypus_dreaming,"2023-12-07 12:26:44,346"
Refaat has just been killed in an airstrike sadly @hasanabi,duuman7,"2023-12-07 12:26:44,534"
Voiceless or now deceased,lizanyasrosetoy,"2023-12-07 12:26:46,162"
♡,aeranea,"2023-12-07 12:26:46,776"
Classic drama peds,jh_thebrickman,"2023-12-07 12:26:48,620"
YOUCANT YOU CANT HANDLE THE TRUTH,xirodrigox,"2023-12-07 12:26:50,155"
"Yep hey if you really think he said that why don't you research it more chatters go watch a full stream
""
",nateking12,"2023-12-07 12:26:50,184"
@HasanAbi the Israelism documentary is available on demand globally now,nayelispageti,"2023-12-07 12:26:50,472"
chat did he cover the kidnapping of civilians sheltering at UN schools by theIDF ? @HasanAbi,kassa10,"2023-12-07 12:26:51,211"
dsaL hasL daphHeart,doomsdayclock4,"2023-12-07 12:26:52,204"
did you get news from norm hasanabi hasL,macmich97,"2023-12-07 12:26:53,125"
agreed,tolumnias,"2023-12-07 12:26:53,152"
What do you think of the Germany Immigration policy change?,mykozama_,"2023-12-07 12:26:53,325"
we love you king,mischalux,"2023-12-07 12:26:53,512"
hasL,veganpiano789,"2023-12-07 12:26:53,842"
@wihby HYPERNODDERS BobaTime ...but sugar make brain go *brrr*,eevee_sprinkle,"2023-12-07 12:26:54,251"
they hate reading,starlegend__,"2023-12-07 12:26:54,506"
@hasanabi I love how caring u are💕💕💕💕💕💕💕💘💘💘,marimew12,"2023-12-07 12:26:54,968"
*them,ohma330,"2023-12-07 12:26:57,017"
Right Side of History! Stay strong!,enemymac,"2023-12-07 12:26:58,451"
people can’t even check George santos sources,pinto_beanz,"2023-12-07 12:26:58,479"
OKAY,luscious_gandhi,"2023-12-07 12:26:58,527"
@n1naishere elbyDANKIES <3,tiamani,"2023-12-07 12:26:58,606"
"as hbomberguy proved, it takes time to research",dr1ushatv,"2023-12-07 12:27:00,009"
Azan sources are A+ I can confirm,tiberiumausten,"2023-12-07 12:27:00,546"
"@duuman7, we covered that earlier 😔 RIP",beteljuice,"2023-12-07 12:27:01,010"
uhnHeart uhnHeart uhnHeart uhnHeart,sapphire_tears,"2023-12-07 12:27:01,830"
EWWW READING,megaphonix,"2023-12-07 12:27:02,548"
fuck em you doing god work,mgn2x0x,"2023-12-07 12:27:02,587"
"@YourPolyesterQueen yeah I'm a bit lost too other than general knowledge of the names being mentioned
""
",catboy_rai,"2023-12-07 12:27:02,763"
Fuck losers like IRI as well. I lost all respect for that dudw,amarettorawr,"2023-12-07 12:27:03,051"
@wihby Nono sugar makes me tired,wihby,"2023-12-07 12:27:03,208"
@yuubii__ fashio7Riot on it boss Salute,tiredsnowhite,"2023-12-07 12:27:03,878"
"wihby, ALOO You can always order with less sugar, I always get between 0-30% sweetness depending on the drink",yuubii__,"2023-12-07 12:27:04,020"
KING @hasanabi YOU ARE CARRYING SOOOOOO FUCKIN HARD ! KEEP IT UP KING hasRight hasHAAA hasLeft hasBuff hasFlex leftfl1Free,obscure_one_,"2023-12-07 12:27:04,183"
nah dude better coverage here than most shit,radicalaaron,"2023-12-07 12:27:04,595"
Nono READING,laserkei,"2023-12-07 12:27:04,902"
"Watch Hasan's latest video on his main channel! Media LIES about Israeli Restaurant Protest. - https://youtu.be/MEEnbH9AasI
""
",fossabot,"2023-12-07 12:27:04,930"
hasL 💜,ocelotlk,"2023-12-07 12:27:05,070"
I have a problem with your coverege. But finding out on my own seems like work so no thanks,sunrose8,"2023-12-07 12:27:05,311"
NOOO reading????,doomsdayclock4,"2023-12-07 12:27:05,406"
"drama farmers are pretty boring, please don't bring one on again unless you vet them lol
""
",projectflo,"2023-12-07 12:27:05,481"
EWWW reading,superlongyellowusername,"2023-12-07 12:27:05,525"
do you own research HOGGERS,notoriousqv,"2023-12-07 12:27:05,690"
love your coverage,carioca212,"2023-12-07 12:27:05,749"
Pivo,sathingtonw603,"2023-12-07 12:27:06,028"
D: READING?,jacepatrick,"2023-12-07 12:27:06,335"
@duuman7 we already did a poetry reading Sadge,haplo3kol,"2023-12-07 12:27:07,193"
hasL,muhmed2,"2023-12-07 12:27:07,611"
hasL,sofipeach88,"2023-12-07 12:27:07,816"
YOUCANT i wont read,poeticram,"2023-12-07 12:27:08,338"
hasL,itbeprolly,"2023-12-07 12:27:09,612"
nich21Love,acekabogen_,"2023-12-07 12:27:10,227"
ICANT READING,mijnboot,"2023-12-07 12:27:10,311"
The sources are the best part about hasans stream,coopaloops30,"2023-12-07 12:27:10,944"
"@zoogus_ you can't argue with those people. I just move on myself
""
",mountaingermans,"2023-12-07 12:27:10,972"
<3 <3 <3 <3 <3 <3 <3,sadiebaby222,"2023-12-07 12:27:11,081"
hasL,delzounmora,"2023-12-07 12:27:11,558"
@hasanabi fair apologies,gormorus,"2023-12-07 12:27:11,710"
hasL hasL hasL hasL hasL hasL,dreamcatxx,"2023-12-07 12:27:11,739"
hasL,eyezra_,"2023-12-07 12:27:12,581"
from time to time,lovleangelique,"2023-12-07 12:27:12,988"
hasL,justagirlelle,"2023-12-07 12:27:13,308"
has is right bro,progressioneightthree,"2023-12-07 12:27:14,016"
Waiting no reading please,depressedaether,"2023-12-07 12:27:14,732"
You use Al Jazeera HOGGERS LIBBERS biased coverage,lamfadha,"2023-12-07 12:27:14,760"
fully normal and valid tbh,platypus_dreaming,"2023-12-07 12:27:14,828"
hasL,asterz573,"2023-12-07 12:27:14,979"
slight anti American bias,crimsontidalwave,"2023-12-07 12:27:15,551"
hasL hasL hasL hasL,iluvberri,"2023-12-07 12:27:15,860"
fuck dem drama frogs,sirsablex,"2023-12-07 12:27:16,371"
