message,user,date
"the palestinian people don't have much of a voice, and you're helping to provide that voice for a large amount of viewers
""
",amandalepre,"2023-12-07 12:23:33,845"
"world peace won't happen in our lifetime. that is the first step to world peace.
""
",sadiebaby222,"2023-12-07 12:23:33,986"
???,sofipeach88,"2023-12-07 12:23:34,112"
WH OMEGALUL,kittymazov,"2023-12-07 12:23:34,150"
KEKL,luscious_gandhi,"2023-12-07 12:23:34,284"
carWHO,mf_jewm,"2023-12-07 12:23:34,464"
WH OMEGALUL,hasanhuh,"2023-12-07 12:23:34,609"
wtf is a turkey tom,hasanisabi,"2023-12-07 12:23:35,381"
D:,h0tpancakes,"2023-12-07 12:23:35,893"
KEKW TURKEY TOM,virtualmeal,"2023-12-07 12:23:36,011"
WH OMEGALUL,dezalbos,"2023-12-07 12:23:36,303"
WH OMEGALUL,tiamani,"2023-12-07 12:23:36,332"
W H OMEGALUL ?,nerdthatwaspromised,"2023-12-07 12:23:36,381"
who,kilbrn,"2023-12-07 12:23:36,814"
hasBaited hasBaited hasBaited hasBaited,dreamcatxx,"2023-12-07 12:23:37,223"
KEKW,thehappyparadox,"2023-12-07 12:23:37,738"
wh OMEGALUL ?,brcfrmn,"2023-12-07 12:23:38,145"
"@r33s3sp13c3s yeah, can look at the destruction of al-Jalaa building, held the AP News, Al Jazeera news offices",r33s3sp13c3s,"2023-12-07 12:23:38,174"
sure do,liberacc1,"2023-12-07 12:23:38,174"
talking tom the turkey?,bortcobain,"2023-12-07 12:23:38,225"
WH OMEGALUL,niceharris,"2023-12-07 12:23:38,305"
WH OMEGALUL,henriquegds,"2023-12-07 12:23:38,761"
WH OMEGALUL,halestormuo,"2023-12-07 12:23:38,789"
WH OMEGALUL,adk_215,"2023-12-07 12:23:38,789"
drama channel @HasanAbi,enby_dee,"2023-12-07 12:23:38,922"
A what?,simuser,"2023-12-07 12:23:38,951"
WH OMEGALUL,a3bshy,"2023-12-07 12:23:39,004"
is that some random nazi,jerbil_b,"2023-12-07 12:23:39,165"
Nobody knows who that lowlife bum is,barskiog,"2023-12-07 12:23:39,198"
??????????? KEKL,mr_spiderbyte,"2023-12-07 12:23:40,297"
who???,nupuroo,"2023-12-07 12:23:40,328"
WH OMEGALUL,czequita,"2023-12-07 12:23:40,564"
"Hey @HasanAbi thanks for the educational videos over the past couple of months. I really helped me give a introduction to the conflict and I'm sorry it has affected your mental health. I hope you'll be alright and continue because your commentary is truly appreciated
""
",katheely,"2023-12-07 12:23:41,013"
W H OMEGALUL,cheesemakerx,"2023-12-07 12:23:41,091"
"some youtuber, dont bother",xsuffering_soul,"2023-12-07 12:23:41,401"
TURKEY TOM OMG,sillybilly01,"2023-12-07 12:23:41,435"
WH  OMEGALUL,tiamani,"2023-12-07 12:23:41,729"
callmedaddy47022 just subbed using Prime for 35 months! bleedPurple https://twitch.amazon.com/tp,fossabot,"2023-12-07 12:23:42,139"
OMEGALUL,dezalbos,"2023-12-07 12:23:42,447"
Awkward who,zaby42,"2023-12-07 12:23:42,529"
WH OMEGALUL,kylecfc,"2023-12-07 12:23:42,979"
Turkey Tom is an ignorant jackass,arcanearronax,"2023-12-07 12:23:43,266"
another drama commentary nobody,infam0uz07,"2023-12-07 12:23:43,778"
"these comfy journalist trying to be ""unbiased"" in mainstream media",lizanyasrosetoy,"2023-12-07 12:23:43,973"
he is a drama farm channel!!!! ignoree!!!,keatonwastaken,"2023-12-07 12:23:44,169"
TURKEY TOME OMEGALUL,guerilla_,"2023-12-07 12:23:44,495"
"how do you not know? he's a legend
""
",toxicsjw,"2023-12-07 12:23:44,674"
OMEGALUL,soggyburrito,"2023-12-07 12:23:44,801"
Shrug,decayedpac,"2023-12-07 12:23:44,830"
WH OMEGALUL,madradical_,"2023-12-07 12:23:44,830"
we got another dipshit fuck em,adk_215,"2023-12-07 12:23:44,959"
another youtuber who was talking about you smHead,gloamingluna,"2023-12-07 12:23:45,148"
some Nazi,arabi1050,"2023-12-07 12:23:45,178"
lying about what? lol,n1naishere,"2023-12-07 12:23:45,410"
Hes a drama youtuber,virtualmeal,"2023-12-07 12:23:45,568"
@HasanAbi its a minecrafter you boomer,beansmemesandlean,"2023-12-07 12:23:45,930"
KEKW,exosluckyone,"2023-12-07 12:23:45,961"
WH OMEGALUL,frank_s_art,"2023-12-07 12:23:46,058"
who???,spacecadetgalletas,"2023-12-07 12:23:46,234"
WH OMEGALUL,jh_thebrickman,"2023-12-07 12:23:46,748"
"@hasanabi how was the debate boring, Ramaswamy threw the most hilarious tantrum the entire time",jjjjealous,"2023-12-07 12:23:46,803"
is that like a jimmy johns order,beteljuice,"2023-12-07 12:23:47,026"
"@HasanAbi Do not worry about Turkey tom, he is a cloutfarming creep",delzounmora,"2023-12-07 12:23:47,055"
T OMEGALUL M,laserkei,"2023-12-07 12:23:47,292"
paxgrandiflora just re-subbed for 2 months! POGGIES,fossabot,"2023-12-07 12:23:47,323"
"that's a jimmy johns sandwich yo
""
",boatparade,"2023-12-07 12:23:47,772"
WH OMEGALUL,superfast0jellyfish,"2023-12-07 12:23:47,807"
TURKEY TOM? KEKL,aruzaan,"2023-12-07 12:23:48,309"
"I'm a turkey tom
""
",biking_solo,"2023-12-07 12:23:49,360"
KEKW A TURKEY TOM,jacepatrick,"2023-12-07 12:23:49,394"
brisomber just subbed using Prime for 24 months! bleedPurple https://twitch.amazon.com/tp,fossabot,"2023-12-07 12:23:50,308"
Turkey Time,classysmile101,"2023-12-07 12:23:50,458"
(i have no idea what im saying),toxicsjw,"2023-12-07 12:23:50,583"
he makes gross drama farm content,phillabustah,"2023-12-07 12:23:50,617"
CHICKEN BOB,dreamcatxx,"2023-12-07 12:23:51,124"
🦃🦃🦃🦃🦃,tolumnias,"2023-12-07 12:23:51,155"
youtube documentarian,h0tpancakes,"2023-12-07 12:23:51,235"
